Gene_ID	Positions	Nombre_transcrits	Transcrits_id	Gene_taille	Prot_taille	Pourcentage_GC
ENSG00000143384	['-', 150560895, 150579738]	8	['ENST00000617352', 'ENST00000678770', 'ENST00000464132', 'ENST00000678610', 'ENST00000620947', 'ENST00000369026', 'ENST00000676522', 'ENST00000307940']	18844	[350, 152, 197, 350, 271]	47.55890469114837
ENSG00000080910	['+', 196943738, 196959622]	12	['ENST00000367415', 'ENST00000367421', 'ENST00000489703', 'ENST00000649283', 'ENST00000476712', 'ENST00000647617', 'ENST00000485647', 'ENST00000496448', 'ENST00000473386', 'ENST00000649960', 'ENST00000699921', 'ENST00000699922']	15885	[270, 355, 250, 216, 254, 205, 146, 211, 200]	35.66257475605917
ENSG00000134371	['+', 193121983, 193254815]	13	['ENST00000649895', 'ENST00000643006', 'ENST00000367435', 'ENST00000650197', 'ENST00000643784', 'ENST00000648071', 'ENST00000635846', 'ENST00000649606', 'ENST00000647662', 'ENST00000482484', 'ENST00000649706', 'ENST00000649613', 'ENST00000477868']	132833	[385, 531, 482, 197, 104, 450]	35.65002672528664
ENSG00000188859	['-', 166057426, 166167001]	5	['ENST00000435676', 'ENST00000456900', 'ENST00000441649', 'ENST00000354422', 'ENST00000338353']	109576	[254, 261, 257, 261, 261]	45.08834051252099
ENSG00000177000	['-', 11785723, 11806455]	19	['ENST00000376592', 'ENST00000376590', 'ENST00000376583', 'ENST00000376585', 'ENST00000641747', 'ENST00000641805', 'ENST00000423400', 'ENST00000641446', 'ENST00000641407', 'ENST00000641759', 'ENST00000641820', 'ENST00000641721', 'ENST00000376486', 'ENST00000641909', 'ENST00000641437', 'ENST00000418034', 'ENST00000431243', 'ENST00000642002', 'ENST00000413656']	20733	[656, 656, 697, 697, 82, 696, 549, 642, 411, 230, 144, 30]	54.63753436550427
ENSG00000162616	['+', 77979175, 78017964]	6	['ENST00000487931', 'ENST00000477671', 'ENST00000484662', 'ENST00000426517', 'ENST00000476396', 'ENST00000370763']	38790	[172, 337]	37.06625418922403
ENSG00000163518	['-', 157573747, 157598085]	3	['ENST00000271532', 'ENST00000448509', 'ENST00000479869']	24339	[515]	42.06828546776778
ENSG00000259823	['-', 248739415, 248755759]	1	['ENST00000590317']	16345	[237]	51.04313245640869
ENSG00000183615	['+', 32247222, 32248856]	1	['ENST00000373582']	1635	[163]	60.18348623853211
ENSG00000184005	['+', 76074746, 76634603]	3	['ENST00000328299', 'ENST00000464140', 'ENST00000621530']	559858	[305, 139]	38.77751144040096
ENSG00000134262	['-', 113894194, 113905201]	14	['ENST00000369569', 'ENST00000369567', 'ENST00000256658', 'ENST00000479285', 'ENST00000462591', 'ENST00000479801', 'ENST00000484201', 'ENST00000460653', 'ENST00000369564', 'ENST00000489499', 'ENST00000432415', 'ENST00000489092', 'ENST00000369571', 'ENST00000472122']	11008	[739, 571, 739, 297, 176, 263]	42.986918604651166
ENSG00000287856	['-', 231363797, 231528603]	3	['ENST00000653908', 'ENST00000653198', 'ENST00000662216']	164807	[58, 139]	39.50924414618311
ENSG00000121903	['+', 33472645, 33501643]	4	['ENST00000361328', 'ENST00000684572', 'ENST00000373413', 'ENST00000480917']	28999	[1043, 1043, 433]	44.25669850684507
ENSG00000196505	['-', 117863485, 117929621]	6	['ENST00000369443', 'ENST00000491626', 'ENST00000369442', 'ENST00000464026', 'ENST00000493555', 'ENST00000494224']	66137	[497, 496]	36.54232880233455
ENSG00000143753	['+', 224175756, 224193441]	5	['ENST00000415210', 'ENST00000323699', 'ENST00000391877', 'ENST00000465848', 'ENST00000498813']	17686	[262, 323, 323]	46.05902974103811
ENSG00000203985	['-', 54007298, 54018186]	4	['ENST00000371362', 'ENST00000371360', 'ENST00000545928', 'ENST00000420619']	10889	[116, 205, 162, 166]	53.714758012673336
ENSG00000066322	['-', 43363398, 43368074]	16	['ENST00000621943', 'ENST00000413844', 'ENST00000372458', 'ENST00000468865', 'ENST00000464204', 'ENST00000470968', 'ENST00000487209', 'ENST00000470769', 'ENST00000497569', 'ENST00000482302', 'ENST00000497050', 'ENST00000478481', 'ENST00000479439', 'ENST00000465321', 'ENST00000479686', 'ENST00000496932']	4677	[279, 252, 279]	58.75561257216164
ENSG00000213171	['-', 151800264, 151805419]	1	['ENST00000368820']	5156	[593]	56.10938712179985
ENSG00000188015	['-', 153547329, 153549258]	2	['ENST00000368713', 'ENST00000368712']	1930	[101, 101]	57.97927461139897
ENSG00000117601	['-', 173903800, 173917327]	3	['ENST00000367698', 'ENST00000487183', 'ENST00000494024']	13528	[464]	46.26700177409816
ENSG00000117222	['-', 205086142, 205122015]	3	['ENST00000264515', 'ENST00000367164', 'ENST00000484379']	35874	[538, 500]	40.77047443831187
ENSG00000168528	['+', 31409565, 31434680]	6	['ENST00000373710', 'ENST00000487207', 'ENST00000373709', 'ENST00000491976', 'ENST00000536384', 'ENST00000536859']	25116	[464, 455, 459, 459]	52.80299410734194
ENSG00000253148	['+', 192316992, 192367285]	1	['ENST00000417209']	50294	[152]	32.783234580665685
ENSG00000054282	['+', 243256034, 243500091]	11	['ENST00000490065', 'ENST00000366541', 'ENST00000491888', 'ENST00000482234', 'ENST00000476722', 'ENST00000435549', 'ENST00000496361', 'ENST00000463012', 'ENST00000493334', 'ENST00000463042', 'ENST00000497459']	244058	[713, 155, 414]	39.81020904866876
ENSG00000143365	['-', 151806071, 151831845]	11	['ENST00000356728', 'ENST00000318247', 'ENST00000651814', 'ENST00000697811', 'ENST00000651893', 'ENST00000652040', 'ENST00000638901', 'ENST00000480719', 'ENST00000697812', 'ENST00000697813', 'ENST00000651025']	25775	[497, 518, 374, 321, 166, 423, 51]	53.0552861299709
ENSG00000069275	['-', 205712822, 205750182]	2	['ENST00000367142', 'ENST00000464938']	37361	[243]	39.53052648483713
ENSG00000198815	['-', 42176539, 42335877]	9	['ENST00000372571', 'ENST00000372572', 'ENST00000372573', 'ENST00000445886', 'ENST00000422278', 'ENST00000454417', 'ENST00000361346', 'ENST00000545068', 'ENST00000361776']	159339	[136, 622, 622, 382, 87, 125, 622, 622, 588]	38.56557402770194
ENSG00000189181	['-', 248681322, 248682328]	1	['ENST00000342623']	1007	[311]	47.56703078450844
ENSG00000189266	['+', 23956839, 23963462]	5	['ENST00000647887', 'ENST00000471915', 'ENST00000374468', 'ENST00000334351', 'ENST00000579103']	6624	[139, 3, 139, 139, 56]	43.8707729468599
ENSG00000196449	['-', 37802945, 37808208]	1	['ENST00000373044']	5264	[279]	49.58206686930091
ENSG00000116791	['-', 74705482, 74733408]	7	['ENST00000370872', 'ENST00000340866', 'ENST00000492102', 'ENST00000417775', 'ENST00000370871', 'ENST00000370870', 'ENST00000441120']	27927	[192, 329, 329, 295, 244, 207]	39.61399362623984
ENSG00000187961	['+', 960584, 965719]	4	['ENST00000338591', 'ENST00000463212', 'ENST00000466300', 'ENST00000481067']	5136	[642, 154]	67.87383177570094
ENSG00000143344	['+', 183636085, 183928532]	2	['ENST00000304685', 'ENST00000360851']	292448	[803, 768]	39.980099026151656
ENSG00000163344	['-', 154924740, 154936719]	1	['ENST00000368467']	11980	[192]	49.67445742904842
ENSG00000142765	['+', 27342020, 27353937]	11	['ENST00000618673', 'ENST00000318074', 'ENST00000616558', 'ENST00000483926', 'ENST00000473280', 'ENST00000543823', 'ENST00000490170', 'ENST00000496001', 'ENST00000485269', 'ENST00000615284', 'ENST00000475199']	11918	[497, 550, 562, 77, 562]	58.239637523074336
ENSG00000143341	['+', 185734391, 186190949]	5	['ENST00000271588', 'ENST00000485744', 'ENST00000493413', 'ENST00000475585', 'ENST00000414277']	456559	[5635, 240]	35.985710499628745
ENSG00000174021	['-', 84498323, 84506581]	5	['ENST00000689285', 'ENST00000487806', 'ENST00000370645', 'ENST00000370641', 'ENST00000686161']	8259	[68, 68, 68]	40.682891391209594
ENSG00000132185	['+', 161706972, 161714352]	16	['ENST00000350710', 'ENST00000367949', 'ENST00000367959', 'ENST00000540521', 'ENST00000546024', 'ENST00000674251', 'ENST00000674323', 'ENST00000367957', 'ENST00000236938', 'ENST00000465403', 'ENST00000349527', 'ENST00000294796', 'ENST00000309691', 'ENST00000367953', 'ENST00000367950', 'ENST00000470841']	7381	[141, 192, 382, 242, 287, 236, 376, 219, 359, 264, 225, 270, 365, 165]	46.050670640834575
ENSG00000183155	['-', 202878282, 202889149]	1	['ENST00000367262']	10868	[123]	45.50055207949944
ENSG00000163867	['-', 34986165, 35031945]	9	['ENST00000493328', 'ENST00000357182', 'ENST00000466345', 'ENST00000472971', 'ENST00000415531', 'ENST00000317538', 'ENST00000460607', 'ENST00000373333', 'ENST00000471566']	45781	[1325, 209, 170, 170]	38.784648653371484
ENSG00000169991	['-', 18904280, 18956676]	3	['ENST00000455833', 'ENST00000355609', 'ENST00000416166']	52397	[517, 88, 259]	54.32944634234784
ENSG00000143621	['-', 153661788, 153671028]	5	['ENST00000361891', 'ENST00000480213', 'ENST00000368684', 'ENST00000368681', 'ENST00000615950']	9241	[390, 116, 150, 352]	44.324207336868305
ENSG00000171729	['+', 15152532, 15220478]	6	['ENST00000376014', 'ENST00000451326', 'ENST00000400796', 'ENST00000434578', 'ENST00000376008', 'ENST00000428417']	67947	[253, 122, 253, 135, 253, 253]	48.41273345401563
ENSG00000127054	['-', 1311585, 1324687]	49	['ENST00000470030', 'ENST00000540437', 'ENST00000545578', 'ENST00000620829', 'ENST00000497304', 'ENST00000323275', 'ENST00000435064', 'ENST00000411962', 'ENST00000462432', 'ENST00000478641', 'ENST00000421495', 'ENST00000458452', 'ENST00000419704', 'ENST00000532772', 'ENST00000450926', 'ENST00000527098', 'ENST00000485710', 'ENST00000461514', 'ENST00000525164', 'ENST00000528879', 'ENST00000525769', 'ENST00000531377', 'ENST00000527383', 'ENST00000531292', 'ENST00000467408', 'ENST00000434694', 'ENST00000531020', 'ENST00000533916', 'ENST00000488042', 'ENST00000526797', 'ENST00000526332', 'ENST00000430786', 'ENST00000527719', 'ENST00000530031', 'ENST00000526113', 'ENST00000526904', 'ENST00000525603', 'ENST00000429572', 'ENST00000498173', 'ENST00000496353', 'ENST00000493534', 'ENST00000534345', 'ENST00000532952', 'ENST00000490853', 'ENST00000531019', 'ENST00000498476', 'ENST00000470679', 'ENST00000525285', 'ENST00000530233']	13103	[606, 571, 502, 600, 502, 342, 62, 499, 46, 578, 92, 278, 54, 345, 81, 109, 101, 210, 250, 289, 141, 56, 168, 55, 64]	60.44417309013204
ENSG00000116668	['+', 185157080, 185291781]	3	['ENST00000367501', 'ENST00000367500', 'ENST00000450350']	134702	[900, 900, 160]	37.63789698742409
ENSG00000232237	['-', 201113943, 201127184]	1	['ENST00000449188']	13242	[206]	50.626793535719685
ENSG00000173212	['+', 116111399, 116138149]	4	['ENST00000684484', 'ENST00000369500', 'ENST00000683341', 'ENST00000464946']	26751	[362, 362, 362]	43.00399985047288
ENSG00000116329	['+', 28812170, 28871267]	1	['ENST00000234961']	59098	[372]	50.126907847981315
ENSG00000179412	['-', 13163914, 13165631]	1	['ENST00000323770']	1718	[293]	43.94644935972061
ENSG00000176022	['+', 1232237, 1235041]	1	['ENST00000379198']	2805	[329]	64.20677361853832
