Gene_ID	Positions	Nombre_transcrits	Transcrits_id	Gene_taille	Prot_taille	Pourcentage_GC
b3179	['-', 3327035, 3327664]	1	['AAC76211']	630	[209]	50.476190476190474
b1068	['+', 1126806, 1127729]	1	['AAC74152']	924	[307]	55.3030303030303
b0636	['-', 668248, 668715]	1	['AAC73737']	468	[155]	58.333333333333336
b0769	['+', 800759, 801811]	1	['AAC73856']	1053	[350]	48.812915479582145
b1146	['+', 1203024, 1203224]	1	['AAC74230']	201	[66]	42.78606965174129
b0599	['-', 632389, 633477]	1	['AAC73700']	1089	[362]	55.188246097337
b1875	['-', 1959280, 1959846]	1	['AAC74945']	567	[188]	50.79365079365079
b4135	['-', 4362733, 4363308]	1	['AAC77095']	576	[191]	53.125
b3162	['-', 3305971, 3307860]	1	['AAC76196']	1890	[629]	55.55555555555556
b1926	['+', 2005713, 2006078]	1	['AAC74993']	366	[121]	51.63934426229508
b0559	['+', 579880, 580086]	1	['AAC73660']	207	[68]	39.61352657004831
b1372	['+', 1429049, 1432411]	1	['AAC74454']	3363	[1120]	53.34522747546833
b2398	['+', 2518467, 2518811]	1	['AAC75455']	345	[114]	50.14492753623189
b0301	['-', 317726, 318319]	1	['AAC73404']	594	[197]	44.94949494949495
b0502	['-', 529645, 530016]	1	['AYC08181']	372	[123]	50.26881720430107
b2367	['-', 2480638, 2482176]	1	['AAC75426']	1539	[512]	41.65042235217673
b0369	['-', 388753, 389727]	1	['AAC73472']	975	[324]	53.94871794871795
b1115	['-', 1174092, 1175165]	1	['AAC74199']	1074	[357]	49.534450651769085
b4466	['-', 3114550, 3119112]	1	['AAT48156']	4563	[1520]	52.02717510409818
b2987	['-', 3134872, 3136371]	1	['AAC76023']	1500	[499]	51.93333333333333
b0051	['-', 51609, 52430]	1	['AAC73162']	822	[273]	53.04136253041363
b4685	['-', 3307853, 3307933]	1	['ACO60010']	81	[26]	39.50617283950617
b4674	['-', 1465165, 1465230]	1	['ACO59992']	66	[21]	13.636363636363635
b2822	['-', 2959060, 2962428]	1	['AAC75861']	3369	[1122]	53.60641139804096
b0437	['+', 456677, 457300]	1	['AAC73540']	624	[207]	51.12179487179487
b0791	['+', 824630, 825040]	1	['AAC73878']	411	[136]	54.50121654501216
b4613	['-', 3647705, 3647788]	1	['ABP93453']	84	[27]	46.42857142857143
b0779	['+', 813526, 815547]	1	['AAC73866']	2022	[673]	53.560830860534125
b1406	['+', 1474221, 1475081]	1	['AAC74488']	861	[286]	53.07781649245064
b0854	['+', 893784, 894896]	1	['AAC73941']	1113	[370]	50.85354896675651
b2604	['+', 2742383, 2743609]	1	['AAC75653']	1227	[408]	48.329258353708234
b1746	['-', 1828256, 1829734]	1	['AAC74816']	1479	[492]	58.07978363759296
b0783	['+', 818570, 819055]	1	['AAC73870']	486	[161]	55.96707818930041
b0046	['+', 47246, 47776]	1	['AAC73157']	531	[176]	54.61393596986818
b2006	['+', 2077940, 2078134]	1	['AYC08225']	195	[64]	49.23076923076923
b2623	['-', 2757644, 2758600]	1	['AAC75671']	957	[318]	36.7816091954023
b0543	['+', 568315, 568647]	1	['AAC73644']	333	[110]	41.14114114114114
b0570	['-', 593328, 594770]	1	['AAC73671']	1443	[480]	52.04435204435205
b3296	['-', 3441055, 3441675]	1	['AAC76321']	621	[206]	50.72463768115942
b3639	['+', 3812731, 3813951]	1	['AAC76663']	1221	[406]	53.64455364455365
b1219	['-', 1273246, 1273599]	1	['AAC74303']	354	[117]	51.69491525423729
b3493	['+', 3637642, 3639141]	1	['AAC76518']	1500	[499]	54.06666666666666
b2682	['+', 2809617, 2810354]	1	['AAC75729']	738	[245]	52.84552845528455
b2230	['-', 2334956, 2336644]	1	['AAC75290']	1689	[562]	51.15452930728242
b0888	['-', 931085, 932050]	1	['AAC73974']	966	[321]	53.62318840579711
b3138	['+', 3284170, 3284646]	1	['AAC76172']	477	[158]	44.0251572327044
b2215	['-', 2311646, 2312749]	1	['AAC75275']	1104	[367]	50.63405797101449
b1088	['+', 1146794, 1147315]	1	['AAC74172']	522	[173]	49.616858237547895
b1289	['-', 1351407, 1351760]	1	['AAC74371']	354	[117]	49.717514124293785
b4217	['+', 4439587, 4439793]	1	['AAC77174']	207	[68]	43.47826086956522
